S. No.,State/UT,2005 - Doctors at PHCs - Required1 - ( R),2005 - Doctors at PHCs - Sanctioned - (S),2005 - Doctors at PHCs - In Position - (P),2005 - Doctors at PHCs - Vacant - (S-P),2005 - Doctors at PHCs - Shortfall - (R-P),2019 - Doctors at PHCs - Required1 - ( R),2019 - Doctors at PHCs - Sanctioned - (S),2019 - Doctors at PHCs - In Position - (P),2019 - Doctors at PHCs - Vacant - (S-P),2019 - Doctors at PHCs - Shortfall - (R-P),Note of 2005 - Doctors at PHCs - Vacant - (S-P),Note of 2005 - Doctors at PHCs - Shortfall - (R-P),Note of 2019 - Doctors at PHCs - Vacant - (S-P),Note of - 2019 - Doctors at PHCs - Shortfall - (R-P)
1,Andhra Pradesh,1570,2497,2137,360,NA,1145,1862,1715,147,NA,NA,*,NA,*
2,Arunachal Pradesh,85,78,78,0,7,143,NA,116,NA,27,NA,NA,NA,NA
3,Assam,610,NA,NA,NA,NA,946,NA,1925,NA,NA,NA,NA,NA,*
4,Bihar,1648,NA,NA,NA,NA,1899,NA,2085,NA,NA,NA,NA,NA,*
5,Chhattisgarh,517,1034,628,406,NA,792,792,321,471,471,NA,*,NA,NA
6,Goa,19,56,53,3,NA,24,48,56,NA,NA,NA,*,*,*
7,Gujarat,1070,1070,848,222,222,1476,2639,2186,453,NA,NA,NA,NA,*
8,Haryana,408,862,862,0,NA,379,684,542,142,NA,NA,*,NA,*
9,Himachal Pradesh,439,354,467,NA,NA,586,722,486,236,100,*,*,NA,NA
10,Jammu & Kashmir,334,668,643,25,NA,622,1542,919,623,NA,NA,*,NA,*
11,Jharkhand,561,NA,NA,NA,NA,298,667,336,331,NA,NA,NA,NA,*
12,Karnataka,1681,2237,2041,196,NA,2127,2127,2111,16,16,NA,*,NA,NA
13,Kerala,911,1345,949,396,NA,848,1460,1531,NA,NA,NA,*,*,*
14,Madhya Pradesh,1192,1278,839,439,353,1199,2024,1053,971,146,NA,NA,NA,NA
15,Maharashtra,1780,3157,3158,NA,NA,1828,3189,2951,238,NA,*,*,NA,*
16,Manipur,72,95,67,28,5,90,238,208,30,NA,NA,NA,NA,*
17,Meghalaya,101,127,123,4,NA,118,NA,149,NA,NA,NA,*,NA,*
18,Mizoram,57,57,35,22,22,59,NA,60,NA,NA,NA,NA,NA,*
19,Nagaland,87,53,53,0,34,126,131,133,NA,NA,NA,NA,*,*
20,Odisha,1282,1353,1353,0,NA,1288,1346,813,533,475,NA,*,NA,NA
21,Punjab,484,646,373,273,111,416,575,562,13,NA,NA,NA,NA,*
22,Rajasthan,1713,1517,1506,11,207,2082,2268,1932,336,150,NA,NA,NA,NA
23,Sikkim,24,48,48,0,NA,29,NA,41,NA,NA,NA,*,NA,*
24,Tamil Nadu,1380,3806,2257,1549,NA,1422,2844,1777,1067,NA,NA,*,NA,*
25,Telangana,NA,NA,NA,NA,NA,636,1254,1213,41,NA,NA,NA,NA,*
26,Tripura,73,161,152,9,NA,108,NA,216,NA,NA,NA,*,NA,*
27,Uttarakhand,225,272,182,90,43,257,476,269,207,NA,NA,NA,NA,*
28,Uttar Pradesh,3660,NA,NA,NA,NA,2936,4509,3180,1329,NA,NA,NA,NA,*
29,West Bengal,1173,1560,1319,241,NA,908,1326,810,516,98,NA,*,NA,NA
30,A& N Islands,20,36,36,0,NA,22,42,34,8,NA,NA,*,NA,*
31,Chandigarh,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
32,D & N Haveli,6,6,6,0,0,9,12,12,0,NA,NA,NA,NA,*
33,Daman & Diu,3,5,5,0,NA,4,8,3,5,1,NA,*,NA,NA
34,Delhi,8,31,23,8,NA,5,7,5,2,0,NA,*,NA,NA
35,Lakshadweep,4,4,4,0,0,4,8,8,0,NA,NA,NA,NA,*
36,Puducherry,39,63,63,0,NA,24,24,41,NA,NA,NA,*,*,*
All India2/Total,All India2/Total,23236,24476,20308,4282,1004,24855,32824,29799,7715,1484,NA,NA,NA,NA
